Formatted with CRDFormatter on Sun May 28 14:10:57 EDT 2017.
CRDFormatter created by Kyle DeBry (debry.1@osu.edu). Compiled 2017/05/28.
View README at: https://kyledebry.github.io/CRDFormatter/

Date,Seconds after midnight,Epoch Time (ms),Trigger #,Valid GPS,Valid trigger rate,,
2015-09-17,45002.088,1442493002088,1,1,1,,,
2015-09-17,45002.088,1442493002088,2,1,1,,,
2015-09-17,45002.088,1442493002088,3,1,1,,,
2015-09-17,45002.096,1442493002096,1,1,1,,,
2015-09-17,45002.096,1442493002096,2,1,1,,,
2015-09-17,45002.096,1442493002096,1,1,1,,,
2015-09-17,45002.096,1442493002096,1,1,1,,,
2015-09-17,45002.096,1442493002096,0,1,1,,,
2015-09-17,45002.096,1442493002096,2,1,1,,,
2015-09-17,45003.104,1442493003104,3,1,1,,,
2015-09-17,45003.104,1442493003104,2,1,1,,,
2015-09-17,45003.104,1442493003104,1,1,1,,,
2015-09-17,45003.096,1442493003096,1,1,1,,,
2015-09-17,45003.096,1442493003096,0,1,1,,,
2015-09-17,45003.096,1442493003096,1,1,1,,,
2015-09-17,45003.096,1442493003096,0,1,1,,,
2015-09-17,45003.096,1442493003096,2,1,1,,,
2015-09-17,45003.096,1442493003096,0,1,1,,,
2015-09-17,45003.096,1442493003096,1,1,1,,,
2015-09-17,45003.096,1442493003096,1,1,1,,,
2015-09-17,45004.096,1442493004096,3,1,1,,,
2015-09-17,45004.096,1442493004096,2,1,1,,,
2015-09-17,45004.096,1442493004096,3,1,1,,,
2015-09-17,45004.096,1442493004096,1,1,1,,,
2015-09-17,45004.096,1442493004096,3,1,1,,,
2015-09-17,45004.096,1442493004096,1,1,1,,,
2015-09-17,45004.096,1442493004096,2,1,1,,,
2015-09-17,45004.096,1442493004096,0,1,1,,,
2015-09-17,45004.096,1442493004096,2,1,1,,,
2015-09-17,45005.096,1442493005096,3,1,1,,,
2015-09-17,45005.096,1442493005096,1,1,1,,,
2015-09-17,45005.096,1442493005096,3,1,1,,,
2015-09-17,45005.096,1442493005096,2,1,1,,,
2015-09-17,45005.096,1442493005096,1,1,1,,,
2015-09-17,45005.096,1442493005096,1,1,1,,,
2015-09-17,45005.096,1442493005096,2,1,1,,,
2015-09-17,45005.096,1442493005096,3,1,1,,,
2015-09-17,45005.096,1442493005096,1,1,1,,,
2015-09-17,45005.096,1442493005096,2,1,1,,,
2015-09-17,45005.096,1442493005096,3,1,1,,,
2015-09-17,45006.096,1442493006096,1,1,1,,,
2015-09-17,45006.096,1442493006096,0,1,1,,,
2015-09-17,45006.096,1442493006096,2,1,1,,,
2015-09-17,45006.096,1442493006096,1,1,1,,,
2015-09-17,45006.096,1442493006096,0,1,1,,,
2015-09-17,45006.096,1442493006096,2,1,1,,,
2015-09-17,45006.096,1442493006096,0,1,1,,,
2015-09-17,45006.096,1442493006096,2,1,1,,,
2015-09-17,45006.096,1442493006096,2,1,1,,,
2015-09-17,45006.096,1442493006096,3,1,1,,,
2015-09-17,45006.096,1442493006096,0,1,1,,,
2015-09-17,45006.096,1442493006096,2,1,1,,,
2015-09-17,45006.096,1442493006096,3,1,1,,,
2015-09-17,45007.096,1442493007096,0,1,1,,,
2015-09-17,45007.096,1442493007096,1,1,1,,,
2015-09-17,45007.096,1442493007096,0,1,1,,,
2015-09-17,45007.096,1442493007096,2,1,1,,,
2015-09-17,45007.096,1442493007096,3,1,1,,,
2015-09-17,45007.096,1442493007096,1,1,1,,,
2015-09-17,45007.096,1442493007096,3,1,1,,,
